respondent_id,probability_xyz,probability_seasonal
26707,0.1056453155782414,0.1578809670285223
26708,0.07333584927633892,0.10779782680324192
26709,0.4181059938321313,0.8060510584110331
26710,0.43023039792608064,0.8780073711374581
26711,0.26881540650692015,0.39539770753979875
26712,0.47654060162288775,0.8136123814608184
26713,0.2901779700941292,0.42944134242054754
26714,0.08654659330276913,0.12288553774139002
26715,0.05957282759261355,0.0996194585671991
26716,0.12309888354857763,0.8458171727444246
26717,0.05538763591344879,0.3687779866363841
26718,0.16073394180654238,0.2918653748283385
26719,0.13752880387425648,0.9080753341222366
26720,0.10888907768344701,0.2413086690035074
26721,0.6075251050045071,0.4766100044255591
26722,0.06067103520979198,0.11742644532181243
26723,0.5690732400796493,0.890664372298326
26724,0.08901648634790238,0.6997027272876329
26725,0.07286227983399952,0.11187297429759262
26726,0.0571274356269196,0.1349951487793066
26727,0.17485020764760476,0.8352076442795816
26728,0.1594706891627975,0.4791832531506466
26729,0.0714812472853668,0.17160162200983406
26730,0.07183854655219803,0.1961945273928686
26731,0.0529821404880078,0.2774721869522845
26732,0.10468412483917387,0.10797863024640292
26733,0.8397730791076676,0.8906264697862712
26734,0.8332948420032659,0.3689302251343894
26735,0.10409695923191453,0.5015183504420418
26736,0.09251474208027342,0.15798541184685433
26737,0.07133561857221997,0.0999393121429311
26738,0.5898194046462379,0.862423078915904
26739,0.08603111650434443,0.18176857223470447
26740,0.12175303327097513,0.13346674100914876
26741,0.13812805089141691,0.9026347085896197
26742,0.11940482391512104,0.2847831243826596
26743,0.05967986240473481,0.4318474918878978
26744,0.09939643523301277,0.7227634849145591
26745,0.08893113644225793,0.8839181650904451
26746,0.08637394451962789,0.19347942375333402
26747,0.0821541096556168,0.25102954819599405
26748,0.12500875772084388,0.13704719104780969
26749,0.0795494150780423,0.6392016225335531
26750,0.5072142517114017,0.8609594116300744
26751,0.31126499951033765,0.4791832531506466
26752,0.057603423152038744,0.12047637082918793
26753,0.16619613934069932,0.667298259853917
26754,0.11351831184867317,0.2666124323122188
26755,0.07298579121844287,0.4281544069627088
26756,0.05487729163874857,0.11314946786811203
26757,0.6689060467404442,0.7447567988610772
26758,0.6345043709415603,0.8061524163219983
26759,0.06000282661672911,0.1284990968736853
26760,0.05329469877208559,0.11982052643600587
26761,0.1507075871428503,0.852301506837503
26762,0.1351656777628279,0.7140543041341997
26763,0.8272454922578514,0.8890144689713945
26764,0.8542760901052473,0.8879692802537466
26765,0.06523897350185857,0.4691390671190148
26766,0.1377744190761314,0.17005288705100066
26767,0.7128937067349415,0.7157625019922021
26768,0.05529240479048572,0.4152655081610764
26769,0.11104986752329603,0.1571247475048631
26770,0.11125869583522024,0.8164789737998654
26771,0.07544086651078062,0.2948357724751333
26772,0.0867986851596273,0.327858676720836
26773,0.05732301114788678,0.5957391322735685
26774,0.06748250466031647,0.23934022394455204
26775,0.09586391830497966,0.5015183504420418
26776,0.4100361646904685,0.4416030298073522
26777,0.11651721970589558,0.8764374545996558
26778,0.1447150409330225,0.30155943441526006
26779,0.11184423901228077,0.47328381863853136
26780,0.2885761644063111,0.8817850883593749
26781,0.08236418507064924,0.29806851374973303
26782,0.06742970756816294,0.26576781462240706
26783,0.07110916424870102,0.24768355778056195
26784,0.2178825055941589,0.6151639045578895
26785,0.316500956634849,0.4580427364759559
26786,0.11924506719422803,0.20249621819861663
26787,0.07288282963541369,0.5880441403681154
26788,0.11783217262218572,0.9132399218981364
26789,0.056661910276876754,0.2267719153724832
26790,0.07110916424870102,0.24768355778056195
26791,0.08011412113612319,0.10999542986137603
26792,0.22020349464582184,0.8016638155929847
26793,0.08732326764621487,0.896272938863494
26794,0.756048025813682,0.8777662520811107
26795,0.06884140192902598,0.8915836475201768
26796,0.0690222067723496,0.09885386683812641
26797,0.12878250680668907,0.48220144776935175
26798,0.2726950301478067,0.2463870987670369
26799,0.19576441505691997,0.141269385003601
